PRFID,PRFNM,PRFPDFROM,PRFPDTO,PRFCAST,PRFCREW,PRFRUNTIME,PRFAGE,ENTRPSNM,PCSEGUIDANCE,POSTER,RELATES,PLACEID,PLACENM,INFO URLS
PF243191,내가 아빠고 아빠가 나라면 [대구],2024.08.10,2024.08.10, , ,1시간,24개월 이상,극단 꿈의 공작소,"전석 35,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243191_240618_092907.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1174559'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008238')]",FC000342,대구청소년수련원 (대극장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243191_240618_0929070.jpg']
PF243081,유진과 유진 [대학로],2024.07.06,2024.09.22,"최태이, 오유민, 전혜주, 유주혜, 강혜인, 이한별","김솔지, 이기쁨, 양지해 등",1시간 40분,만 10세 이상,낭만바리케이트,"유진석 65,000원, 소라석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243081_240617_100852.gif,"[('BC페이북(BC플랫폼)', 'https://ticket.paybooc.co.kr:447/Play/PlayDetail?playNum=70936'), ('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1196080'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008248'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=78011'), ('티켓링크', 'https://www.ticketlink.co.kr/product/51222')]",FC001528,링크아트센터드림 (드림 4관),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243081_240806_0116182.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243081_240806_0116181.jpg']"
PF243001,캐치! 티니핑: 두근두근 싱어롱 콘서트! [서울 (앵콜) ],2024.08.01,2024.08.18,"박정윤, 이아영, 안정현, 유현주, 박희민, 최현진, 김혜경 등","홍승희, 김한솔, 박상우 등",1시간 05분,24개월 이상,"(주)쇼노트, (주)에스에이엠지엔터테인먼트(SAMG엔터테인먼트), (주)이캐슬, (주)하늘이엔티","R석 66,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243001_240614_094817.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1178141'), ('멜론티켓', 'https://ticket.melon.com/performance/index.htm?prodId=209990'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008303')]",FC001799,이화여자대학교 삼성홀 (이화여자대학교 삼성홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243001_240614_0948170.jpg']
PF242984,인피니티 플라잉 (INFINITY FLYING) [경주],2024.06.13,2024.08.31,"황근생, 이영주, 김승혜, 박민혜","최철기, 김진홍, 임중석 등",1시간 20분,36개월 이상,(주)페르소나 경주플라잉,"전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242984_240613_152220.png,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/153378')]",FC001081,경주세계문화엑스포 (문화센터공연장),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242984_240613_0322204.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242984_240613_0322203.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242984_240613_0322202.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242984_240613_0322201.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242984_240613_0322200.jpg']"
PF242973,고고다이노: 해양구조대 [과천],2024.07.27,2024.08.11, ,"박준철, 황바울, 강한별",1시간 10분,전체 관람가, ,"R석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242973_240613_140702.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1204118'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008272')]",FC003977,비상교육 (대강당),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242973_240613_0207020.jpg']
PF242932,시데레우스,2024.07.24,2024.10.13,"이창용, 안재영, 김지철, 기세중, 정휘, 윤석호, 유낙원 등","신동은, 백승우, 이유정 등",1시간 40분,만 7세 이상,(주)랑,"R석 66,000원, S석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242932_240613_112051.jpg,"[('BC페이북(BC플랫폼)', 'https://ticket.paybooc.co.kr:447/Play/PlayDetail?playNum=70935'), ('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1178225'), ('예스24', 'http://ticket.yes24.com/Perf/50004'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008243'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=78010')]",FC001459,플러스씨어터(구. 컬처스페이스 엔유 구. 쁘티첼 씨어터) (플러스씨어터(구. 컬처스페이스 엔유 구. 쁘티첼 씨어터)),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242932_240613_1120510.jpg']
PF242849,구름빵 [서울 광진구],2024.08.01,2024.08.25, , ,50분,전체 관람가, ,"전석 35,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242849_240612_130803.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/787665'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008152')]",FC001462,상상나라극장 (상상나라극장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242849_240612_0108030.jpg']
PF242843,종이아빠 [대학로],2024.07.18,2024.08.15,"송명강, 서별, 문보은, 이태양, 배조은 등","노혜란, 홍경숙, 지민영 등",1시간,36개월 이상, ,"전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242843_240621_173322.png,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1139434'), ('대학로티켓닷컴', 'http://www.maketicket.co.kr/ticket/GD25601'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24007574'), ('타임티켓', 'https://www.timeticket.co.kr/?number=5708'), ('티몬', 'www.tmon.co.kr/deal/26955531994')]",FC001298,"시온아트홀 (구. JK아트홀, 구. 샘아트홀) (시온아트홀(구. JK아트홀, 구. 샘아트홀))","['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242843_240621_0532102.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242843_240621_0532101.jpg']"
PF242836,투가이즈쇼 #2. GENERATION,2024.07.08,2024.10.07,"최호승, 기세중, 추민주, 노희찬, 김도원, 최정원, 김환희 등","한소영, 한혜신, 이준 등",1시간 40분,만 13세 이상, ,"전석 70,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242836_240612_124051.jpg,"[('예스24', 'http://ticket.yes24.com/Perf/49981')]",FC002033,구름아래소극장 (구름아래소극장),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242836_240612_1240511.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242836_240612_1240510.jpg']"
PF242805,겨울왕국: 겨울이야기 [서울 서대문],2024.08.10,2024.08.10, , ,1시간,24개월 이상, ,"전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242805_240612_103037.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1176062'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008208'), ('티켓링크', 'https://www.ticketlink.co.kr/product/50519')]",FC001668,서대문문화체육회관 (대극장),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242805_240612_1030371.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242805_240612_1030370.jpg']"
